left_x,left_y,right_x,right_y,horizontalRatio,verticalRatio,Centre,Left,Right,Up,Down
553,317,682,308,0.5883997204751922,0.7071428571428571,1,0,0,0,0
553,314,679,306,0.5844017094017094,0.72953216374269,1,0,0,0,0
553,294,679,289,0.6325490196078432,0.7222222222222222,1,0,0,0,0
551,286,678,280,0.6048979591836734,0.675,1,0,0,0,0
555,277,678,272,0.6229411764705883,0.8180147058823529,1,0,0,0,0
552,281,681,276,0.6176470588235294,0.6964285714285714,1,0,0,0,0
556,285,679,277,0.6167832167832168,0.7,1,0,0,0,0
551,296,679,291,0.609056603773585,0.7666666666666666,1,0,0,0,0
549,320,682,311,0.5843507214206437,0.7712418300653594,1,0,0,0,0
551,341,681,333,0.5990566037735849,0.75,1,0,0,0,0
548,363,681,354,0.5076923076923077,0.7647058823529411,1,0,0,0,0
553,403,681,396,0.6080432172869148,0.7196078431372549,1,0,0,0,0
550,434,679,431,0.5933333333333333,0.75,1,0,0,0,0
552,477,679,467,0.625,0.5833333333333333,1,0,0,0,0
554,482,680,473,0.5943396226415094,0.6584967320261439,1,0,0,0,0
553,481,679,473,0.5961538461538461,0.6424148606811146,1,0,0,0,0
550,464,676,458,0.6014328808446456,0.7352941176470589,1,0,0,0,0
548,434,671,428,0.5865384615384616,0.7032163742690059,1,0,0,0,0
542,422,667,414,0.5676923076923077,0.6754385964912281,1,0,0,0,0
538,400,665,394,0.584045584045584,0.7032163742690059,1,0,0,0,0
540,379,668,372,0.5885744234800838,0.7,1,0,0,0,0
532,357,662,351,0.5766509433962264,0.7222222222222222,1,0,0,0,0
524,377,652,366,0.576461038961039,0.725,1,0,0,0,0
525,412,652,401,0.5858305586385497,0.7105263157894737,1,0,0,0,0
525,479,652,468,0.6037735849056604,0.6833333333333333,1,0,0,0,0
525,507,652,499,0.5735849056603773,0.6583333333333333,1,0,0,0,0
523,537,653,529,0.5720211161387632,0.75,1,0,0,0,0
528,562,654,554,0.5849056603773585,0.7222222222222222,1,0,0,0,0
530,552,656,543,0.5997822931785195,0.7105263157894737,1,0,0,0,0
530,551,656,542,0.5849056603773585,0.7222222222222222,1,0,0,0,0
532,527,663,521,0.5648148148148149,0.7352941176470589,1,0,0,0,0
538,512,667,504,0.6072676450034941,0.6421052631578947,1,0,0,0,0
532,433,671,433,0.5786163522012578,0.7647058823529411,1,0,0,0,0
535,365,669,359,0.6111111111111112,0.7416666666666667,1,0,0,0,0
535,335,670,328,0.591692789968652,0.7647058823529411,1,0,0,0,0
538,324,673,315,0.5948275862068966,0.72953216374269,1,0,0,0,0
536,278,676,270,0.57335148215366,0.6904761904761905,1,0,0,0,0
536,243,675,231,0.5932203389830508,0.7105263157894737,1,0,0,0,0
533,214,675,204,0.576271186440678,0.7142857142857143,1,0,0,0,0
