left_x,left_y,right_x,right_y,horizontalRatio,verticalRatio,cursor_x,cursor_y
519,336,638,320,0.5615021770682148,0.6190476190476191,889.96875,149.87890625
510,335,629,317,0.5655270655270654,0.5952380952380952,964.828125,149.453125
484,339,601,312,0.5483249903735079,0.5909090909090908,1007.15234375,139.71875
449,350,559,309,0.5414676508901433,0.5552536231884058,1066.1328125,87.06640625
409,362,515,312,0.49905303030303033,0.5289408866995073,1066.1328125,87.06640625
388,363,493,317,0.5314200890648194,0.6362876254180602,1086.90234375,85.3515625
277,380,376,352,0.5123398196487897,0.7184210526315788,1206.984375,110.734375
315,370,423,359,0.5594405594405594,0.6583333333333333,1227.94140625,176.27734375
356,397,462,391,0.5361111111111111,0.6862745098039216,1229.453125,229.1953125
380,425,484,410,0.503968253968254,0.6527777777777778,1229.453125,229.1953125
403,453,503,434,0.5296167247386759,0.630718954248366,1229.453125,229.1953125
425,458,521,446,0.4933139534883721,0.7529411764705882,1229.453125,229.1953125
449,471,541,457,0.5244047619047619,0.6584967320261439,1225.23828125,306.40234375
474,471,566,460,0.5057926829268293,0.6672794117647058,1220.7109375,490.5234375
499,449,586,440,0.5455712451861361,0.6944444444444444,1220.7109375,498.265625
507,429,595,417,0.545940170940171,0.5625,1222.89453125,506.734375
578,409,670,403,0.5992176386913229,0.7916666666666666,1023.609375,662.0390625
